"","pref","year","prov","mayor_term","invest","state_share","soe_share","local_share","local_soe_share","nonlocal_soe_share","nonlocal_nonsoe_share","local_nonsoe_share","invest_l","mayor_term1","mayor_age","gender_fem.y","ethnicity.y","edu_onjob.y","lgdp_pc","lpopul","lfiscal","distCity","industryOptionalName","projName","first_con_mayor","projRid","cooperationTerm","returnMode","local_size","soe_size","local_soe_size","local_nonsoe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","type"
"5671","昆明市",2016,"云南省",4,5653292100,NA,NA,NA,NA,NA,NA,NA,22.4555038849834,4,54,0,0,18,10.9963500092236,6.31999461374202,15.4293708771265,530100,"高速公路","云南省昆明市东川至格勒高速公路PPP项目",0,"5394f8ee00c843bab0f93a35db497172",30,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"5672","巴中市",2016,"四川省",1,2.95e+09,1.85,1.85,1.85,1.85,0,32.96,0,21.8050710072981,1,52,0,0,18,9.62085935438703,5.9389072963693,12.8751883698877,511900,"城镇化建设","四川省巴中市巴州区基础设施建设PPP项目",1,"1e43d573389849038f3a9a6a245f4c78",13,"1",5457500000,5457500000,5457500000,0,22.4202566465716,22.4202566465716,0,22.4202566465716,"Constrcution"
"5673","安顺市",2015,"贵州省",2,471030000,20,20,20,20,0,80,0,19.9704323442198,2,51,0,0,18,10.0243325622283,5.66988092298052,4.06867797547285,520400,"供水","贵州省安顺市普定县水务一体化PPP项目",1,"236ffcbf2c114a5a95f4882c1b78d388",30,"3",9420600000,9420600000,9420600000,0,22.96616461788,22.96616461788,0,22.96616461788,"Water Conservancy"
"5674","六安市",2016,"安徽省",5,8.77e+08,5,5,5,5,0,95,0,20.5920175503365,5,50,0,0,18,9.97692387060931,6.57609345375749,13.8483116710461,341500,"体育","六安市体育中心",0,"1f1905bcf979497f957c79a19d5dbd7b",15,"3",4.385e+09,4.385e+09,4.385e+09,0,22.2014554629986,22.2014554629986,0,22.2014554629986,"Sports"
"5675","延安市",2013,"陕西省",3,1004504300,30,30,30,30,0,55.66,0,20.7277600229468,3,55,0,0,18,10.966058069857,5.46128619482618,4.93634340759543,610600,"一级公路","延安市北过境线改建工程PPP项目",0,"1a4b73143d6b4af5b0593530558310eb",10,"1",30135129000,30135129000,30135129000,0,24.1289574046421,24.1289574046421,0,24.1289574046421,"Public Transportation"
"5676","江门市",2014,"广东省",3,526528000,0,0,0,0,0,60,0,20.0818150695107,3,47,1,0,18,10.8375199658864,5.97380961186926,5.06280070807694,440700,"垃圾处理","开平市固废综合处理中心一期一阶段PPP项目",0,"1c8e8a19c5164c63a0f8eee3c03a73b6",28,"3",0,0,0,0,0,0,0,0,"Environment"
"5677","威海市",2016,"山东省",5,3.4e+09,NA,NA,NA,NA,NA,NA,NA,21.9470412685685,5,49,1,0,18,11.5798548756522,5.54028267210283,14.7307887774207,371000,"市政道路","山东省威海国际经贸交流中心配套市政工程PPP项目",1,"2535abf2469b47b09c6d2f0e7677046b",12,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"5678","泉州市",2015,"福建省",3,1.18e+09,0,100,100,100,0,0,18,20.888780275424,3,52,0,0,16,11.1309913193884,6.57395945756433,5.94044910885168,350500,"综合治理","福建省泉州市晋江下游生态整治工程（一期）PPP项目",0,"234cc6ea57ea4e9c8aa7731874f0a7e3",17,"3",1.18e+11,1.18e+11,1.18e+11,2.124e+10,25.4939504614205,25.4939504614205,23.7791520333672,25.4939504614205,"City Management"
"5679","赣州市",2015,"江西省",4,656660900,NA,NA,NA,NA,NA,NA,NA,20.3026783092638,4,51,0,0,12,9.9854361351833,6.86087329308201,5.41748522067833,360700,"其他","瑞金经济技术开发区基础设施建设（2015年）及道路提升改造PPP项目",0,"1fedf9a1eb434ca798db3dbd1cee3186",10,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Constrcution"
"5680","乌鲁木齐市",2016,"新疆维吾尔自治区",2,17387637400,5.86,5.86,5.86,5.86,0,1.32,0,23.5790252963934,2,55,0,1,18,11.2164044438512,5.58661175149825,15.1202322708148,650100,"轨道交通","新疆乌鲁木齐市轨道交通3号线一期工程",1,"33ab584434a040b8bc701d7a66f7f0bd",35,"3",101891555164,101891555164,101891555164,0,25.3471748999921,25.3471748999921,0,25.3471748999921,"Public Transportation"
"5681","赣州市",2015,"江西省",4,85440000,NA,NA,NA,NA,NA,NA,NA,18.2633249331762,4,51,0,0,12,9.9854361351833,6.86087329308201,5.41748522067833,360700,"垃圾处理","章贡区环卫工程提升暨停车场建设运营PPP项目",0,"2b9e06811fae442697a319778f984860",10,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"5682","荆州市",2015,"湖北省",1,740920000,NA,NA,NA,NA,NA,NA,NA,20.4234032152188,1,52,0,1,21,10.1571215108483,6.48996452118334,4.4792474879785,421000,"文化场馆","湖北省荆州市监利县文化体育中心PPP项目",1,"3db68a7c5c6444598f1b33fa2e30c7ae",11,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Culture"
"5683","泉州市",2016,"福建省",4,139118200,0,0,100,100,0,0,100,18.7508344894562,4,53,0,0,16,11.1902515915645,6.58264821343962,15.1721278798529,350500,"智慧城市","福建省泉州市公安智能交通系统工程（一期）PPP项目",0,"29f09be7a4c0432c9b42812f40c73626",11,"1",13911820000,0,13911820000,13911820000,23.3560046755162,23.3560046755162,23.3560046755162,0,"Science & Technology"
"5684","阜阳市",2015,"安徽省",3,9.28e+08,NA,NA,NA,NA,NA,NA,NA,20.6485422907505,3,53,0,0,18,9.63580416659104,6.95787788838535,4.63966242983746,341200,"市政道路","阜阳市京九路等海绵型道路工程PPP项目",0,"35cf12ca4f3c4d789ad1b0313cc5d8de",12,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"5685","惠州市",2016,"广东省",4,91248900,0,0,10,10,0,90,10,18.3291014955597,4,50,0,0,18,11.1009039102628,5.87793184099015,15.0393398116674,441300,"湿地保护","大亚湾红树林城市湿地公园第二阶段一标段工程",1,"3c335887a9014942ac7290d050b8e1c6",11,"1",912489000,0,912489000,912489000,20.6316865896496,20.6316865896496,20.6316865896496,0,"Environment"
"5686","佛山市",2016,"广东省",1,425520000,10,0,10,10,0,0,10,19.8688225083983,1,48,0,0,12,11.5926511993361,5.96350221982186,15.5338869973326,440600,"一级公路","广东省佛山市禅城区魁奇路快速化岭南大道节点工程PPP项目",0,"3669246370d54eeaaf34d99be492b1c3",10,"1",4255200000,0,4255200000,4255200000,22.1714076016274,22.1714076016274,22.1714076016274,0,"Public Transportation"
"5687","铜仁市",2015,"贵州省",4,7105703400,NA,NA,NA,NA,NA,NA,NA,22.684163594299,4,46,0,0,18,NA,NA,NA,520600,"高速公路","贵州省铜仁市秀山（黔渝界）至印江高速公路PPP项目",0,"376aeed07d674474b1f5460c02bd01f9",33,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"5688","县",2015,"重庆市",NA,1047630000,20,20,0,20,20,80,0,20.7697963070721,NA,NA,NA,NA,12,NA,NA,NA,500200,"生态旅游","任河南岸旅游景观综合改造工程",NA,"3e46eaa44f174c28b41c00d7980b64e3",10,"3",0,20952600000,20952600000,0,0,23.7655285806738,0,23.7655285806738,"Environment"
"5689","大同市",2013,"山西省",1,229304900,10,10,10,10,0,42.3,0,19.2505631169849,1,53,0,0,18,10.2333307225094,5.76644423578091,4.38582690449256,140200,"供热","天镇县县城集中供热工程PPP项目",1,"52734b723195480a8c5a42b1b329d742",30,"3",2293049000,2293049000,2293049000,0,21.553148210415,21.553148210415,0,21.553148210415,"Energy"
